"author_id";"name";"count"
278;"approved";4
278;"area/cloudprovider";1
278;"cncf-cla: yes";5
278;"kind/bug";2
278;"lgtm";5
278;"priority/critical-urgent";1
278;"release-note";2
278;"release-note-none";3
278;"sig/auth";1
278;"sig/aws";1
278;"sig/cluster-lifecycle";1
278;"sig/node";1
278;"sig/storage";4
278;"size/M";2
278;"size/S";2
278;"size/XS";1
278;"status/approved-for-milestone";1
278;"status/in-progress";1
20809;"backported-to-v9.x";7
20809;"backport-requested-v6.x";1
20809;"backport-requested-v8.x";1
20809;"baking-for-lts";3
20809;"benchmark";1
20809;"C++";5
20809;"child_process";1
20809;"doc";2
20809;"domain";2
20809;"dont-land-on-v4.x";4
20809;"dont-land-on-v6.x";8
20809;"dont-land-on-v8.x";3
20809;"errors";1
20809;"events";3
20809;"fast-track";2
20809;"http";1
20809;"land-on-v8.x";3
20809;"lib / src";6
20809;"lts-watch-v6.x";1
20809;"lts-watch-v8.x";2
20809;"module";1
20809;"net";1
20809;"performance";1
20809;"process";3
20809;"semver-minor";1
20809;"test";3
20809;"timers";3
20809;"tls";1
20809;"tools";2
20809;"v9.x";1
23304;"approved";9
23304;"area/cloudprovider";1
23304;"cherrypick-approved";1
23304;"cncf-cla: yes";13
23304;"do-not-merge/hold";2
23304;"do-not-merge/work-in-progress";1
23304;"kind/bug";2
23304;"lgtm";9
23304;"milestone/needs-approval";1
23304;"milestone/removed";1
23304;"priority/critical-urgent";2
23304;"release-note";7
23304;"release-note-none";6
23304;"sig/cluster-lifecycle";2
23304;"sig/node";3
23304;"size/M";6
23304;"size/S";4
23304;"size/XL";1
23304;"size/XS";2
23304;"status/approved-for-milestone";1
23304;"status/in-progress";1
52195;"dont-land-on-v4.x";1
52195;"dont-land-on-v6.x";1
52195;"dont-land-on-v8.x";1
52195;"dont-land-on-v9.x";1
52195;"semver-minor";1
52195;"stream";1
57224;"Bug";4
57224;"DependencyInjection";4
57224;"Feature";3
57224;"FrameworkBundle";2
57224;"HttpFoundation";1
57224;"Serializer";1
57224;":snowflake: Feature Freeze";1
57224;"Status: Needs Review";2
57224;"Status: Reviewed";8
87088;"approved";6
87088;"cherrypick-approved";2
87088;"cncf-cla: yes";8
87088;"do-not-merge/cherry-pick-not-approved";2
87088;"kind/bug";1
87088;"lgtm";7
87088;"milestone/incomplete-labels";1
87088;"needs-ok-to-test";1
87088;"priority/critical-urgent";2
87088;"release-note";4
87088;"release-note-none";4
87088;"size/M";4
87088;"size/S";2
87088;"size/XS";2
87088;"status/approved-for-milestone";2
243674;"Bug";30
243674;"Console";1
243674;"Debug";2
243674;"DependencyInjection";14
243674;"ExpressionLanguage";1
243674;"Feature";4
243674;"FrameworkBundle";4
243674;"HttpFoundation";2
243674;"HttpKernel";5
243674;"Performance";2
243674;"Process";5
243674;"Ready";8
243674;"Status: Needs Review";5
243674;"Status: Reviewed";37
275871;"author ready";1
275871;"backported-to-v9.x";1
275871;"backport-requested-v6.x";1
275871;"buffer";1
275871;"C++";7
275871;"cares";1
275871;"dont-land-on-v4.x";4
