author_id,cluster_id
23304,3891
23304,3880
23304,3901
23304,3886
52195,3884
52195,3883
54666,3884
57224,3885
87088,3886
243674,3885
275871,3884
275871,3883
439929,3884
439929,3883
718899,3883
718899,3884
730123,3901
730123,3891
899444,3884
899444,3883
903617,3886
980082,3886
1047696,3885
1093990,3883
1093990,3884
1538624,3883
1538624,3884
1701782,3913
1701782,3898
1957048,3885
2352663,3883
2352663,3884
2512748,3884
2512748,3883
2519571,3913
2519571,3898
2823529,3901
3020626,3884
3020626,3883
3451634,3885
4299420,3883
4299420,3884
5319646,3913
5319646,3898
5449021,3886
5449021,3891
5449021,3901
5595220,3907
5952481,3884
5952481,3883
7502063,3885
7946809,3910
8822573,3884
8822573,3883
10933333,3883
10933333,3884
11936386,3898
11936386,3913
14308438,3913
15943089,3884
15943089,3883
29497748,3898
29497748,3913
278,3886
20809,3883
20809,3884
