author_id,cluster_id
20809,5225
20809,5227
54666,5227
96947,5227
96947,5225
98927,5269
98927,5230
98927,5278
98927,5264
98927,5266
243674,5262
243674,5260
309126,5261
439401,5262
439929,5227
439929,5225
576341,5264
676637,5266
676637,5264
676637,5230
676637,5269
676637,5278
718899,5225
718899,5227
730123,5264
730123,5266
730123,5278
730123,5269
730123,5230
899444,5227
899444,5225
903617,5230
903617,5278
903617,5269
903617,5266
903617,5264
915544,5266
980082,5230
980082,5266
980082,5278
980082,5264
980082,5269
1047696,5262
1047696,5260
1093990,5225
1093990,5227
1146263,5230
1146263,5278
1146263,5264
1146263,5269
1146263,5266
1163175,5269
1538624,5227
1538624,5225
1745006,5261
1787169,5269
1787169,5230
1787169,5264
1787169,5278
1787169,5266
1796778,5269
1796778,5264
1796778,5230
1796778,5278
1796778,5266
1957048,5260
1957048,5262
2211145,5262
2352663,5225
2352663,5227
2512748,5225
2512748,5227
2519571,5274
2823529,5269
2823529,5230
2823529,5278
2823529,5264
2823529,5266
3262098,5266
3262098,5269
3262098,5264
3262098,5230
3262098,5278
4299420,5227
4299420,5225
5442475,5230
5442475,5264
5442475,5278
5442475,5266
5442475,5269
5449021,5269
5449021,5266
5449021,5278
5449021,5264
5449021,5230
5952481,5227
5952481,5225
8061296,5278
8225098,5269
8225098,5264
8225098,5266
8225098,5230
8225098,5278
8739301,5269
8739301,5278
8739301,5230
8739301,5266
8739301,5264
8822573,5227
8822573,5225
10743879,5230
10743879,5266
10743879,5264
10743879,5269
10743879,5278
14308438,5264
14308438,5278
14308438,5269
14308438,5266
14308438,5230
16105680,5230
16105680,5269
16105680,5266
16105680,5278
16105680,5264
18107181,5266
18107181,5230
18107181,5269
18107181,5264
18107181,5278
29742491,5278
29742491,5269
29742491,5266
29742491,5264
29742491,5230
