author_id,cluster_id
278,180
278,168
278,169
354,180
354,169
17607,171
47313,172
52195,171
54666,171
57224,172
73419,172
100893,177
100893,178
100893,180
100893,168
100893,169
169553,180
169553,169
238531,171
243674,172
275871,171
408368,172
439929,171
576341,180
576341,169
647318,180
647318,169
676637,180
676637,169
677994,171
696611,171
718899,171
730123,180
730123,169
774455,175
899444,171
980082,180
980082,169
1047696,172
1093990,171
1163175,180
1163175,169
1443911,171
1538624,171
1701782,180
1701782,169
1703842,180
1703842,169
1745006,177
1745006,178
1745006,180
1745006,168
1745006,169
1752631,180
1752631,169
1754678,172
1787169,180
1787169,169
1957048,172
2211145,172
2352663,171
2512748,171
3272040,180
3272040,169
3900799,180
3900799,169
4299420,171
4516999,180
4516999,169
4876867,180
4876867,169
5175937,172
5442475,180
5442475,169
5595220,180
5595220,169
5821883,180
5821883,169
6233452,180
6233452,169
6871899,172
7062400,177
7063592,178
7368979,180
7368979,169
7502063,172
7751204,180
7751204,169
7946809,179
8061296,180
8061296,169
8225098,180
8225098,169
10052848,180
10524058,180
10524058,169
10743879,180
10743879,169
15943089,171
16824702,179
18107181,180
18107181,169
19172805,178
19172805,180
19172805,168
19172805,169
