author_id,cluster_id
278,3282
278,3212
278,3211
354,3212
354,3282
17607,3214
47313,3215
52195,3214
54666,3214
57224,3215
73419,3215
87088,3212
87088,3282
96947,3214
169553,3212
169553,3282
243674,3215
275871,3214
289174,3214
439929,3214
505333,3214
577277,3222
647318,3212
647318,3282
695290,3212
695290,3282
718899,3214
730123,3212
730123,3282
899444,3214
903617,3212
903617,3282
947971,3212
947971,3282
980082,3282
980082,3212
1163175,3212
1163175,3282
1431969,3282
1431969,3212
1443911,3214
1538624,3214
1703842,3282
1787169,3282
1787169,3212
1957048,3215
2211145,3215
2512748,3214
2589105,3282
2589105,3212
2823529,3212
2823529,3282
3109072,3214
3272040,3212
3272040,3282
3390333,3282
3390333,3212
3900799,3212
3900799,3282
4461983,3282
4461983,3212
4876867,3282
4876867,3212
4923335,3214
5442475,3212
5442475,3282
5751682,3282
5751682,3212
6233452,3282
6233452,3212
6284003,3212
6284003,3282
6733629,3282
6733629,3212
7062400,3212
7062400,3282
7063592,3282
7063592,3212
7502063,3215
8061296,3212
8061296,3282
8225098,3282
8225098,3212
8822573,3214
9295657,3282
9295657,3212
9373002,3214
10393198,3214
10524058,3282
10524058,3212
15881573,3282
15881573,3212
15943089,3214
18107181,3212
18107181,3282
24448061,3212
24448061,3282
