author_id,cluster_id
3902875,3652
3902875,3648
4299420,3649
4333971,3648
4333971,3652
4876867,3648
4876867,3652
4953962,3652
4953962,3648
5442475,3652
5449021,3652
5449021,3648
5595220,3648
5595220,3652
5751682,3648
5751682,3652
6233452,3648
6233452,3652
6284003,3648
6284003,3652
7062400,3648
7062400,3652
7063592,3648
7063592,3652
7502063,3654
8061296,3652
8061296,3648
8225098,3652
8225098,3648
8681801,3648
8681801,3652
8822573,3649
10393198,3649
10524058,3648
10524058,3652
10743879,3648
10743879,3652
11380896,3652
11380896,3648
13374016,3648
13374016,3652
14308438,3648
14308438,3652
15881573,3648
15881573,3652
15943089,3649
16105680,3652
16105680,3648
18045633,3648
18045633,3652
18107181,3652
18107181,3648
20855209,3648
20855209,3652
24448061,3648
24448061,3652
29742491,3652
29742491,3648
354,3648
354,3652
20809,3649
23304,3648
23304,3652
41858,3648
41858,3652
47313,3654
52195,3649
54666,3649
73419,3654
87088,3648
87088,3652
96947,3649
101553,3649
243674,3654
275871,3649
439929,3649
610090,3654
676637,3648
676637,3652
718899,3649
730123,3652
730123,3648
899444,3649
903617,3648
903617,3652
980082,3652
980082,3648
1047696,3654
1163175,3652
1163175,3648
1431969,3652
1431969,3648
1443911,3649
1538624,3649
1701782,3648
1701782,3652
1745006,3648
1745006,3652
1756505,3648
1756505,3652
1787169,3648
1787169,3652
1929644,3648
1929644,3652
1957048,3654
2028198,3654
2211145,3654
2342749,3648
2342749,3652
2352663,3649
2512748,3649
2823529,3652
2823529,3648
3020626,3649
3076896,3648
3076896,3652
3109072,3649
