author_id,cluster_id
354,2696
354,2687
354,2699
354,2682
17607,2684
37310,2682
37310,2687
37310,2699
37310,2696
47313,2685
54666,2684
57224,2685
73419,2685
100893,2687
101553,2684
169553,2699
169553,2696
169553,2687
169553,2682
190447,2685
243674,2685
275871,2684
439929,2684
451477,2682
451477,2696
451477,2699
451477,2687
576341,2696
576341,2682
576341,2687
576341,2699
677994,2684
696611,2684
718899,2684
730123,2696
730123,2682
730123,2699
730123,2687
826111,2699
826111,2687
826111,2682
826111,2696
899444,2684
980082,2682
980082,2699
980082,2696
980082,2687
988441,2684
1047696,2685
1093990,2684
1163175,2687
1163175,2696
1163175,2682
1163175,2699
1431969,2687
1431969,2699
1431969,2696
1431969,2682
1443911,2684
1538624,2684
1745006,2687
1745006,2699
1745006,2696
1745006,2682
1787169,2696
1787169,2687
1787169,2699
1787169,2682
1957048,2685
2352663,2684
2512748,2684
2589105,2693
2823529,2696
2823529,2687
2823529,2682
2823529,2699
3076896,2699
3076896,2696
3076896,2687
3076896,2682
3272040,2682
3272040,2696
3272040,2687
3272040,2699
3900799,2687
3900799,2699
3900799,2696
3900799,2682
4299420,2684
4790487,2696
4876867,2682
4876867,2699
4876867,2696
4876867,2687
5442475,2687
5442475,2699
5442475,2696
5442475,2682
5595220,2687
5751682,2696
5751682,2687
5751682,2682
5751682,2699
5821883,2687
5821883,2699
5821883,2696
5821883,2682
6233452,2687
6233452,2682
6233452,2696
6233452,2699
7062400,2687
7062400,2682
7062400,2696
7062400,2699
7063592,2699
7063592,2696
7063592,2682
7063592,2687
7502063,2685
7740897,2687
7740897,2696
7740897,2682
7740897,2699
7946809,2698
8061296,2699
8225098,2682
8225098,2687
8225098,2699
8225098,2696
10107633,2685
10199099,2696
10199099,2682
10199099,2699
10199099,2687
10393198,2684
10524058,2696
10524058,2687
10524058,2699
10524058,2682
10743879,2696
10743879,2687
10743879,2699
10743879,2682
14308438,2682
14308438,2687
14308438,2699
14308438,2696
15943089,2684
18107181,2699
18107181,2696
18107181,2687
18107181,2682
22985595,2696
22985595,2699
22985595,2682
22985595,2687
23373339,2687
23373339,2699
23373339,2696
23373339,2682
24448061,2696
24448061,2682
24448061,2699
24448061,2687
