author_id,cluster_id
354,2513
354,2518
10183,2513
10183,2518
17607,2514
37310,2518
37310,2513
47313,2515
54666,2514
57224,2515
73419,2515
100893,2518
100893,2513
169553,2518
243674,2515
275871,2514
408368,2515
439929,2514
451477,2518
451477,2513
576341,2513
576341,2518
647318,2518
647318,2513
677994,2514
696611,2514
718899,2514
730123,2518
730123,2513
899444,2514
980082,2518
980082,2513
1093990,2514
1163175,2513
1163175,2518
1332699,2513
1332699,2518
1538624,2514
1613024,2513
1613024,2518
1701782,2518
1701782,2513
1703842,2518
1703842,2513
1745006,2518
1745006,2513
1787169,2518
1787169,2513
1957048,2515
2211145,2515
2352663,2514
2512748,2514
2823529,2513
2823529,2518
3272040,2513
3272040,2518
3596412,2513
3596412,2518
3900799,2518
3900799,2513
3902875,2513
3902875,2518
4299420,2514
4461983,2518
4461983,2513
4876867,2518
4876867,2513
5442475,2513
5442475,2518
5445507,2514
5595220,2513
5595220,2518
5821883,2518
5821883,2513
6233452,2513
6233452,2518
7063592,2513
7063592,2518
7502063,2515
7946809,2558
7946809,2555
8061296,2518
8061296,2513
8225098,2513
8225098,2518
10107633,2515
10199099,2518
10199099,2513
10524058,2513
10524058,2518
10743879,2518
10743879,2513
10819974,2518
10819974,2513
16824702,2558
18107181,2518
18107181,2513
19172805,2513
19172805,2518
