author_id,cluster_id
278,2874
278,2892
278,2873
278,2888
354,2874
354,2888
354,2892
17607,2876
47313,2891
47313,2883
47313,2878
54666,2876
57224,2891
57224,2878
57224,2883
96947,2876
100893,2874
100893,2892
100893,2888
158611,2888
158611,2874
158611,2892
169553,2874
169553,2892
169553,2888
243674,2878
243674,2891
243674,2883
275871,2876
439929,2876
451477,2888
451477,2874
451477,2892
576341,2892
576341,2888
576341,2874
577277,2882
676637,2892
676637,2888
676637,2874
677994,2876
696611,2876
718899,2876
730123,2874
730123,2892
730123,2888
826111,2874
826111,2888
826111,2892
899444,2876
904790,2883
980082,2892
980082,2888
980082,2874
1047696,2891
1047696,2883
1047696,2878
1084056,2876
1093990,2876
1163175,2874
1163175,2888
1163175,2892
1332699,2874
1332699,2888
1332699,2892
1538624,2876
1703842,2892
1703842,2874
1703842,2888
1745006,2892
1745006,2874
1745006,2888
1787169,2892
1787169,2874
1787169,2888
1957048,2878
1957048,2891
1957048,2883
2352663,2876
2512748,2876
2589105,2887
2589105,2888
2823529,2888
2823529,2892
2823529,2874
3076896,2888
3076896,2892
3076896,2874
3272040,2888
3272040,2892
3272040,2874
3390333,2888
3390333,2874
3390333,2892
3900799,2888
4299420,2876
4876867,2888
4923335,2876
5442475,2888
5442475,2892
5442475,2874
5595220,2888
5595220,2892
5595220,2874
5821883,2874
5821883,2888
5821883,2892
7062400,2874
7062400,2888
7062400,2892
7502063,2891
7502063,2883
7502063,2878
8061296,2892
8061296,2874
8061296,2888
8225098,2892
8225098,2874
8225098,2888
8681801,2888
8681801,2874
8681801,2892
9373002,2876
10107633,2891
10199099,2892
10393198,2876
10524058,2874
10524058,2892
10524058,2888
10743879,2888
10743879,2892
10743879,2874
11638619,2876
13093042,2876
14308438,2888
14308438,2874
14308438,2892
15881573,2888
15881573,2874
15881573,2892
15943089,2876
18107181,2888
18107181,2892
18107181,2874
24448061,2874
24448061,2888
24448061,2892
