"author_id";"author_id";"count"
278;100893;4
278;1745006;2
278;5449021;1
278;6104418;4
354;473482;8
354;489420;6
354;980082;2
354;8241000;1
354;11869554;7
354;15881573;6
354;17472298;1
354;30396467;4
1963;30410021;3
3115;4876867;6
3115;5403596;3
3115;6629765;5
4303;567540;13
4303;598730;2
4303;3020626;4
4303;5952481;7
5061;3902382;1
5061;8096033;11
5750;5952481;4
10183;10199099;1
15952;439929;1
15952;3020626;1
15952;5440566;2
16018;1214641;5
16018;6932348;9
16018;10109534;28
16018;17731159;1
17535;498775;5
17607;52195;1
17607;12894547;1
20809;150464;1
20809;439929;11
20809;899444;8
20809;1526036;1
20809;2352663;2
20809;2512748;1
20809;3020626;1
20809;3675357;1
20809;4299420;5
20809;4711855;4
20809;7731478;1
20809;9609965;4
20809;15275371;6
20809;17198500;5
20809;19530599;1
20809;31617985;1
23304;489420;2
23304;730123;1
23304;1891217;1
23304;5154334;1
36006;23608309;2
37310;224224;1
37310;947971;1
37310;30396467;3
41858;224224;4
41858;1904995;2
41858;3209677;1
41858;15881573;9
41858;30265084;2
44136;730123;1
45469;4299420;1
45469;5952481;7
47313;57224;1
47313;121003;2
47313;679561;1
47313;1047696;3
47313;1135118;1
47313;1957048;4
47313;2028198;1
47313;2684575;1
47313;3091599;1
47313;3451634;5
47313;9577952;3
49262;6932348;12
52195;20809;1
52195;439929;6
52195;899444;2
52195;1128607;6
52195;4299420;2
52195;5952481;7
52195;15126694;2
53798;5821883;5
54666;20809;16
54666;52195;1
54666;74390;4
54666;405214;1
54666;736085;3
54666;1128607;2
54666;5952481;4
54666;6722877;2
54666;17198500;2
54666;22822319;4
57224;3451634;3
67402;8696117;1
73419;121003;2
73419;209225;1
73419;804625;1
73419;1957048;1
73419;8947920;12
78718;439929;13
79017;110455;1
81942;20809;1
81942;855219;2
85790;2512748;1
87088;224224;1
87088;298299;1
87088;730123;2
87088;5595220;1
87088;13621088;1
87088;29742491;2
91730;16662068;2
94814;1752146;1
96947;15952;1
96947;20809;2
96947;134460;1
96947;718899;3
96947;736085;4
96947;899444;6
96947;910753;2
96947;1188951;5
96947;2352663;2
96947;2512748;1
96947;4299420;8
96947;15943089;6
96947;17704638;9
96947;23608309;1
100893;278;13
100893;791000;14
100893;1078697;2
100893;19662444;1
100893;22893641;3
100893;30396467;2
101553;505333;1
101553;1561378;2
101553;4299420;2
101553;5746507;1
110455;101553;1
119737;2823399;1
119737;4546722;1
119737;16105680;5
119737;21304151;1
126021;730123;4
126021;1163175;1
126021;16105680;4
127811;804625;1
132260;5952481;5
134460;17704638;1
157083;29974120;1
158390;17704638;2
159209;5449021;1
159209;9130328;2
161459;1109011;1
161459;8768839;3
161459;14953916;8
169553;41858;4
169553;331852;3
169553;452892;2
169553;980082;1
169553;3815288;1
169553;5442475;2
169553;12699319;2
169553;14308438;3
169553;16273360;3
174200;2142864;2
174200;14308438;2
174200;17472298;4
174200;18107181;2
174200;24448061;4
192142;741544;3
192142;856316;2
192142;1109011;11
192142;4402489;3
192142;5003889;4
192142;6804321;1
192142;6932348;9
192142;7946809;3
192142;13744128;3
192142;25133849;2
203583;148958;1
224224;41858;4
224224;19662444;7
234659;567540;5
234659;5952481;24
235550;73419;1
235550;111346;1
235550;131355;2
235550;1265783;2
235550;1957048;3
235550;2211145;2
235550;3451634;1
235550;9702648;1
239685;73419;1
239685;470138;1
239685;2211145;1
243674;57224;9
243674;121003;3
243674;209225;13
243674;804625;11
243674;924196;6
243674;1047696;7
243674;1135118;2
243674;1427081;1
243674;1450507;2
243674;1496283;1
243674;1506493;1
243674;1573273;1
243674;1577185;1
243674;1736542;2
243674;1898254;1
243674;1957048;3
243674;2028198;1
243674;2552865;1
243674;2684575;1
243674;3451634;20
243674;6578413;4
243674;8196725;1
243674;8696117;7
243674;11366345;1
261265;8228740;1
264816;1265228;8
270445;243674;2
275871;96947;5
275871;101553;2
275871;109690;2
275871;347870;1
275871;405214;3
275871;432351;15
275871;505333;1
275871;681239;9
275871;718899;6
275871;736085;2
275871;824753;5
275871;899444;12
275871;1147320;1
275871;1953256;8
275871;2512748;2
275871;3020626;2
275871;3607926;1
275871;3675357;2
275871;4048656;4
275871;4299420;13
