"author_id";"author_id";"count"
278;3076896;1
278;22985595;3
354;87555;3
354;903617;3
354;8681801;5
354;15881573;15
354;30396467;10
1963;87555;2
4303;718899;1
5061;1112263;1
5061;3027286;5
5061;5455421;1
5061;6932348;1
5061;12436991;2
5061;13191886;3
15952;323413;1
16018;856081;3
16018;1495065;15
16018;4623813;4
16018;6932348;20
16018;22581048;1
17607;6148628;1
17607;25247821;1
17978;213672;1
17978;261671;1
17978;323413;1
17978;387506;1
17978;899444;1
17978;1751772;1
17978;5091521;1
17978;6148628;1
17978;7485592;1
17978;7835569;1
17978;7953527;1
17978;9713228;1
17978;14335127;2
17978;15719232;1
20283;5785605;1
20809;109690;2
20809;110455;2
20809;220205;4
20809;432351;2
20809;439929;1
20809;484181;11
20809;588898;3
20809;598730;1
20809;899444;9
20809;1764512;14
20809;1848673;1
20809;3192959;2
20809;10393198;1
20809;10933333;3
20809;16024985;19
23068;830545;1
23304;980082;2
23304;1701782;1
23304;5449021;1
23304;8734900;2
23304;15881573;1
23304;19662444;1
23304;23065472;2
23304;30396467;1
26527;6932348;2
30813;804625;11
41858;49282;5
41858;980082;5
41858;1878195;1
41858;28696384;2
41858;30396467;1
45469;54666;2
47313;57224;1
47313;73419;3
47313;121003;1
47313;198172;4
47313;243674;13
47313;362286;4
47313;379519;1
47313;471254;2
47313;733251;2
47313;804625;1
47313;1047696;1
47313;2028198;6
47313;2964637;1
47313;8062558;1
49258;4953962;6
52195;20809;1
52195;439929;1
52195;899444;7
52195;1764512;4
52195;7135896;2
52195;10713226;2
52195;16024985;2
54666;20809;1
54666;52195;1
54666;110455;1
54666;234659;3
54666;275871;1
54666;417751;4
54666;696611;2
54666;1084056;1
54666;1538624;1
54666;1764512;6
54666;2512748;2
54666;3020626;2
54666;3192959;1
54666;16144158;4
54666;18429084;1
54666;29660847;1
57224;547387;1
57224;734582;1
57224;804625;11
67402;313532;3
67402;804625;2
73085;598730;2
73419;243674;2
73419;537253;1
73419;773875;1
73419;1275206;1
73419;1736542;2
73419;2209895;1
73419;7502063;1
73419;7838144;1
87088;980082;4
87088;2342749;2
87088;3271796;2
87088;10418596;1
87088;16105680;1
87088;16662068;10
87088;29742491;5
88808;1294940;12
90466;144858;1
96947;15952;1
96947;20809;9
96947;79017;1
96947;110455;2
96947;234659;3
96947;365944;3
96947;432351;4
96947;439929;2
96947;484181;1
96947;598730;5
96947;718899;7
96947;899444;3
96947;988441;2
96947;1571966;1
96947;3020626;1
96947;4299420;13
96947;5900772;1
96947;9613701;2
96947;10933333;2
96947;15943089;1
96947;16024985;1
101553;718899;2
101553;899444;5
101553;2352663;1
101553;29660847;1
109690;6932348;1
110455;52195;1
115237;3109072;1
118459;16105680;1
119737;3269376;5
119737;7882754;1
120441;15359729;1
121003;36977;1
121003;57224;1
121003;127811;1
127811;36977;1
127811;3967713;1
148958;203583;3
150663;6410074;25
156269;439929;1
157083;23304;1
157083;1787169;1
158611;1163175;1
158611;3902875;1
158611;8225098;5
159209;12895773;6
163941;1957048;3
169553;23304;3
169553;28523;1
169553;41858;1
169553;298299;1
169553;1287154;2
169553;1944671;2
169553;12699319;2
169553;19662444;1
170179;425637;4
170179;627083;1
170179;8864912;1
184976;8681801;1
190447;25152680;2
191082;804625;1
192142;1075173;1
192142;2404864;5
192142;5003889;1
192142;5455421;2
194609;96947;1
203583;5785605;2
203604;773875;1
205482;899444;1
205482;8083892;1
224224;6104418;13
224224;19662444;27
224224;23065472;2
234659;567540;3
234659;3809792;1
238531;439929;1
243674;36977;7
243674;57224;2
243674;121003;5
243674;133327;6
243674;144858;8
243674;198172;1
243674;362092;1
243674;362286;1
243674;392644;1
243674;408368;2
243674;537253;1
243674;769634;4
243674;804625;5
243674;896295;1
243674;921145;3
243674;1047696;9
243674;1322557;2
243674;1377075;1
243674;1517363;6
243674;1736542;3
243674;1957048;4
243674;2028198;2
243674;2211145;2
243674;2437286;2
243674;2684575;2
243674;2964637;1
243674;3451634;1
243674;6114779;1
243674;8124083;1
243674;11542862;1
243674;15359729;2
275871;20809;6
275871;32125;1
275871;79017;11
275871;101553;17
275871;109690;18
275871;110455;3
275871;158390;1
275871;234659;16
275871;432351;10
275871;439929;4
275871;498775;2
275871;598730;1
275871;677994;1
275871;718899;1
275871;760204;4
275871;899444;8
275871;976081;3
275871;1147320;8
275871;1269468;2
275871;1538624;9
275871;2227152;1
275871;2352663;2
275871;3020626;2
275871;3192959;3
275871;4299420;3
275871;11422270;1
275871;18429084;2
275871;19940926;1
275871;23620441;2
284734;598730;1
287917;79017;1
289174;261671;1
289174;439929;1
289174;899444;4
289174;1538624;3
298299;3902875;3
298299;6233452;1
327028;865538;1
327028;947971;2
335402;5449021;2
335402;5595220;2
360238;769634;1
379372;13693233;31
379372;29497748;3
405846;4953962;1
408368;733251;2
432351;899444;1
439401;57224;4
439401;121003;3
439401;133327;6
439401;144858;1
439401;188741;3
439401;198172;1
439401;243674;13
439401;289744;2
439401;408368;1
439401;610090;1
439401;769634;2
439401;921145;2
439401;1047696;3
439401;1204137;1
439401;1377075;1
439401;1506493;1
439401;1736542;3
439401;1957048;7
439401;2211145;1
439401;7502063;1
439401;8199742;4
439929;20809;6
439929;52195;2
439929;67299;1
439929;78718;2
439929;96947;1
439929;110455;3
439929;182706;1
439929;220205;2
439929;261671;2
439929;323413;1
439929;408692;1
439929;505333;4
439929;534619;1
439929;705500;1
439929;718899;7
439929;767947;1
439929;854911;1
439929;899444;19
439929;1097241;3
439929;1137233;3
439929;1480063;1
439929;1715689;1
439929;1716463;1
439929;1764152;1
439929;1943888;1
439929;1998104;1
439929;2017547;1
439929;2352663;1
439929;2512748;3
439929;3020626;2
439929;3577250;1
439929;3713384;1
439929;3780767;1
439929;3809792;1
439929;4661635;1
439929;5727809;2
439929;6200523;1
439929;6571445;5
439929;7281574;1
439929;7731478;1
439929;8377369;1
439929;10237149;2
439929;10376724;2
439929;10933333;1
439929;11983862;1
439929;12945118;3
439929;14914451;1
439929;15617466;1
439929;15641210;1
439929;16024985;1
439929;18436083;1
439929;20211771;1
439929;20563989;1
439929;22038192;1
439929;24704531;1
439929;25462850;3
439929;32573305;1
439929;32578991;1
450008;804625;1
463737;5455421;3
463737;6932348;8
463737;10788581;2
463737;10927929;1
463737;14693516;1
463737;20383947;3
463737;25848259;1
481937;57224;1
489420;366488;1
493891;903617;1
495647;109690;1
496233;144858;6
496233;537253;1
496233;773875;1
496233;804625;1
498775;439929;1
498775;2352663;1
498775;15943089;1
505333;7135896;16
544424;1957048;2
551378;3081592;1
555645;16600982;1
576341;1065271;11
578547;804625;1
591127;4178417;1
598730;567540;4
598730;899444;9
610090;57224;6
610090;73419;1
610090;121003;4
610090;243674;39
610090;537253;1
610090;1506493;1
610090;1957048;3
610090;2437286;1
610090;2964637;1
647318;3115;2
647318;43191;3
647318;203583;1
647318;425531;1
647318;730123;9
647318;2823529;2
647318;4769989;1
647318;4913482;3
647318;8225098;5
647318;12265352;3
657779;243674;5
657779;1064874;2
676637;4178417;2
676637;5821883;2
676637;7619792;1
676637;22974967;2
677994;498775;1
677994;1764512;1
691628;17210565;2
695290;29497748;8
696611;439929;7
696611;30504865;1
718899;54666;1
718899;96947;5
718899;110455;1
718899;182706;2
718899;296044;1
718899;439929;2
718899;621541;1
718899;899444;1
718899;952539;1
718899;1414265;3
718899;3332246;1
718899;4299420;7
718899;8822573;1
718899;10393198;1
718899;16024985;4
718899;16600982;2
718899;25009432;1
730123;354;2
730123;23304;7
730123;44136;15
730123;83456;1
730123;87555;23
730123;119737;3
730123;126021;8
730123;148958;17
730123;203583;9
730123;304628;2
730123;327028;1
730123;405846;3
730123;980082;4
730123;1163175;2
730123;1431969;4
730123;1756505;2
730123;2342749;8
730123;2589105;4
730123;2823529;3
730123;4031551;7
730123;6232346;1
730123;6284003;4
730123;6720670;1
730123;7943996;1
730123;8225098;24
730123;9594097;6
730123;12626037;1
730123;13374016;33
730123;14090308;7
730123;15881573;4
730123;16105680;23
730123;20855209;8
730123;21304151;3
730123;30396467;9
769634;1957048;6
801183;3506308;1
804625;57224;2
804625;243674;1
804625;3451634;3
815988;20809;2
815988;718899;1
815988;1538624;2
815988;2512748;1
837034;184976;5
837034;368416;1
837034;1332699;6
837034;1878195;1
837034;3209677;1
837034;4953962;2
837034;5449021;6
837034;5714066;3
837034;8681801;2
837034;11286267;2
837034;20979322;1
837034;23205254;1
837034;31078091;1
849915;676637;1
865538;14087829;11
899444;20809;17
899444;79017;5
899444;101553;1
899444;110455;1
899444;220205;2
899444;234659;4
899444;261671;1
899444;439929;9
899444;505333;12
899444;598730;3
899444;718899;3
899444;1084056;2
899444;1147320;7
899444;1538624;1
899444;1998104;1
899444;2352663;3
899444;2842176;2
899444;3020626;3
899444;3675357;1
899444;4299420;1
899444;4421720;2
899444;6571445;6
899444;7135896;6
899444;7881228;1
899444;18429084;1
899444;19497908;1
903617;49282;2
903617;593300;1
903617;849915;1
903617;3390333;1
903617;10524058;9
903617;12699319;1
903617;15881573;5
903617;22974967;1
903617;29497748;2
904790;47313;1
904790;1275206;1
904790;2028198;1
906471;980082;2
906471;22985595;4
906471;30396467;1
915544;1745006;1
917931;100893;1
917931;15622407;2
921145;243674;1
921145;2095546;1
921145;7502063;3
947971;3115;1
