"author_id";"author_id";"count"
278;918191;4
278;4178417;2
278;5344440;2
278;6104418;2
278;22899615;1
278;23079251;2
354;1963;9
354;126021;2
354;903617;6
354;980082;2
354;1701782;5
354;10524058;3
354;30094939;1
1963;12265352;2
1963;20309044;1
3115;1287154;1
3115;1431969;1
4303;598730;8
5061;3112159;2
5061;12436991;3
5750;598730;1
10183;97335;1
10183;5449021;2
10183;8734900;6
15952;439929;1
15952;1814479;2
16018;1214641;4
16018;4277636;4
16018;4623813;46
16018;6932348;3
17607;109690;1
17607;439929;1
17607;718899;2
20809;1764512;7
20809;3065230;1
20809;8822573;2
20809;16024985;4
23304;1445228;1
23304;3293997;2
23304;10071498;1
23304;19662444;3
41858;980082;1
41858;30265084;1
47313;57224;12
47313;73419;1
47313;121003;1
47313;123245;12
47313;243674;9
47313;408368;2
47313;578547;3
47313;1047696;3
47313;1202333;1
47313;1483385;1
47313;1506493;1
47313;1754678;3
47313;1957048;5
47313;2028198;1
47313;7502063;1
47313;10462973;2
47313;21358010;2
49258;20082558;1
49262;6932348;2
52195;20809;32
52195;1764512;1
52195;3065230;2
52195;7907232;3
52195;8822573;4
53798;10524058;2
54666;96947;3
54666;432351;1
54666;439929;5
54666;505333;1
54666;1551570;2
54666;7902626;1
54666;8822573;27
54712;57224;4
57224;243674;4
57224;471254;10
57224;770797;3
57224;804625;4
57224;1196313;6
67512;20809;3
73085;8822573;1
73419;47313;1
73419;57224;1
73419;243674;6
73419;408368;3
73419;546811;1
73419;578547;6
73419;770797;1
73419;1047696;2
73419;1957048;3
73419;2299535;3
73419;5130538;1
73419;7502063;4
79017;899444;1
87088;980082;3
87088;1445228;13
87088;5449021;2
87088;29742491;5
87555;23304;5
88808;3902382;6
90466;144858;1
96040;41858;3
96040;4790487;8
96040;5966968;2
96947;110455;3
96947;194609;3
96947;289174;6
96947;439929;2
96947;505333;1
96947;598730;3
96947;718899;7
96947;988441;4
96947;1538020;2
96947;2500247;2
96947;6533521;3
96947;7238770;1
96947;10393198;3
96947;12882743;4
100893;5658439;2
100893;10052848;6
100893;19662444;2
101553;432351;1
101553;498775;1
101553;7670632;2
115237;8822573;1
119737;3269376;5
119737;10819974;3
121003;73419;1
121003;243674;9
121003;388184;9
121003;1047696;2
126021;903617;10
126021;30396467;1
144114;6932348;7
144412;96947;1
144858;47313;1
150663;1873655;24
