"author_id";"author_id";"count"
278;100893;5
278;19172805;1
354;87555;1
354;119737;3
354;1701782;3
354;2342749;4
354;7397746;3
354;8225098;3
354;13111288;10
10183;87555;4
10183;5122391;1
10183;8734900;3
10183;10027921;1
16018;170179;1
16018;1713047;3
16018;1775518;24
17607;54666;1
17607;238531;1
17607;275871;1
17607;327019;2
17607;439929;9
17607;677994;11
17607;1028226;2
17607;3293332;1
17607;4923335;1
17607;5234060;4
17607;6220422;1
33544;100893;2
33544;20777618;1
37310;51265;1
37310;1210201;5
37310;1700422;23
37310;2342749;10
37310;5442475;44
37310;22786043;3
44136;576341;2
44136;3900799;2
45469;432351;1
45469;4299420;6
47313;57224;7
47313;76576;3
47313;111346;1
47313;144858;1
47313;243674;11
47313;408368;3
47313;499932;5
47313;534693;2
47313;657779;1
47313;749025;3
47313;1577185;4
47313;1753742;1
47313;1957048;4
47313;2211145;4
47313;3440437;1
47313;4578773;1
47313;7502063;10
47313;10107633;1
49258;4333971;1
49262;3081981;1
51265;5442475;6
54666;142914;6
54666;432351;1
54666;439929;16
54666;677994;1
54666;718899;11
54666;899444;1
54666;924465;2
54666;988441;1
54666;1028226;1
54666;1084409;8
54666;1131567;2
54666;1538624;15
54666;1853456;4
54666;2512748;2
54666;3802753;1
54666;4299420;2
54666;5886475;3
54666;6991779;1
54666;7693422;5
54666;10393198;4
54666;11038992;3
54666;11780786;10
54666;12488060;7
54666;13561163;1
57224;243674;2
57224;887158;5
57224;1010392;3
57224;1577185;1
57224;6871899;1
67512;54666;3
70613;19606360;3
72415;408368;1
73419;57224;1
73419;235550;3
73419;243674;3
73419;657779;2
73419;1784740;1
79017;275871;3
79017;439929;2
87088;291750;3
87088;375856;1
88808;987837;3
88808;5588272;1
96040;5595220;11
97335;6914660;1
100893;278;17
100893;1745006;1
100893;1884269;2
100893;10047184;5
100893;10743879;8
101553;13561163;2
115237;54666;1
115237;899444;1
115237;1084409;1
116087;458800;2
119737;9369080;2
119737;10820769;1
120441;76576;2
121003;57224;7
134460;696611;1
150663;476135;8
156269;4448075;1
156867;15952;1
157083;3115;2
157083;184976;5
157083;5241206;9
157083;6430994;1
157083;10927820;1
157083;11380896;4
157083;22985595;4
157083;24448061;3
158611;929377;10
158611;1163175;4
158611;6284003;3
158611;8225098;3
161459;8410351;2
161571;3272040;1
169553;354;1
169553;87555;1
169553;826111;1
169553;980082;2
169553;1163175;2
169553;1701782;1
169553;1703842;28
169553;1756505;1
169553;3262098;1
169553;3596412;3
169553;3618819;3
169553;10743879;3
169553;12290300;1
169553;13621088;1
169553;14308438;3
169553;16407753;7
169553;18107181;1
169553;22539261;3
170179;192829;7
175841;980082;2
175841;13111288;6
186077;190448;2
186077;5230419;3
190447;75517;1
190447;243674;1
190447;7502063;1
190447;7669734;1
192142;7386247;6
192142;16824702;8
192142;16943353;2
196942;5156139;2
196942;5442475;1
196942;13680226;13
211868;49258;1
217065;6216576;1
229914;25126135;1
235550;534693;10
235550;7502063;2
237281;12864026;9
239685;243674;1
239685;7502063;2
243674;47313;5
243674;55820;8
243674;57224;17
243674;111346;3
243674;144858;5
243674;235550;11
243674;408368;7
243674;657779;12
243674;860090;5
243674;887158;1
243674;1011712;1
243674;1204137;1
243674;1957048;1
243674;2010989;21
243674;2211145;1
243674;4578773;1
243674;6871899;10
243674;7502063;40
246944;19606360;2
251467;37310;11
251467;5442475;7
275871;17607;9
275871;54666;2
275871;79017;2
275871;101553;4
275871;156269;1
275871;238531;2
275871;305455;1
275871;432351;1
275871;439929;3
275871;718899;1
275871;811047;3
275871;899444;21
275871;988441;1
275871;1538624;22
275871;2352663;10
275871;5445507;5
275871;12488060;5
275871;13561163;8
289174;432351;3
289174;439929;3
290978;11676923;1
291301;54666;1
291301;439929;1
291301;10393198;4
326106;13269703;1
327028;5751682;2
366488;834161;15
366488;1445228;8
408368;47313;1
408368;57224;1
408368;776488;2
408368;1904199;1
439401;47313;1
439401;57224;18
439401;73419;6
439401;123245;7
439401;144858;3
439401;235550;2
439401;243674;53
439401;408368;5
439401;534693;4
439401;657779;1
439401;860090;2
439401;1017746;4
439401;1204137;3
439401;1220891;1
439401;1265780;3
439401;1577185;2
439401;1957048;11
439401;1968622;2
439401;2010989;3
439401;2211145;1
439401;3440437;3
439401;6871899;1
439401;7502063;12
439401;10114238;1
439401;16478286;2
439929;17607;1
439929;54666;6
439929;327019;1
439929;432351;2
439929;569527;3
439929;635085;1
439929;677994;6
439929;696611;2
439929;718899;3
439929;910691;1
439929;988441;3
439929;1028226;9
439929;1084409;1
439929;1093990;3
439929;1538624;7
439929;2512748;2
439929;3952583;3
439929;4299420;18
439929;4421720;3
439929;4988795;3
439929;5215027;3
439929;5234060;5
439929;6220422;1
439929;6447530;1
439929;6902508;1
439929;7684574;1
439929;7693422;5
439929;10393198;2
439929;11038992;3
439929;13561163;1
439929;18662996;1
439929;22550884;5
439929;24884095;4
439929;25020067;1
451477;354;2
451477;8225098;5
451477;8734900;2
451477;10027921;9
454116;1010392;1
463737;1898501;5
463737;2453007;2
463737;6969686;1
463737;10446514;1
463737;25126135;4
493891;6233452;3
495647;677994;3
495647;12443664;1
498775;439929;1
498775;677994;10
510842;496233;1
518319;6216576;1
533861;496233;2
533861;657779;1
548843;6871899;2
567540;79017;2
576341;647318;1
576341;1459612;1
576341;3900799;2
576341;5751682;1
576341;6284003;7
576341;6733629;1
576341;7261177;28
576341;7368979;1
576341;8225098;1
576341;10819974;1
576341;11380896;7
577277;5588272;2
577277;5735406;3
577277;7946809;5
577277;11607205;1
577277;12864026;13
577277;16824702;1
577562;275871;1
578547;408368;3
578547;2010989;2
600668;73419;6
610090;55820;2
610090;7054317;1
617481;4299420;1
627123;6216576;1
647318;10137;2
647318;903617;6
647318;947971;30
647318;1613024;3
647318;2589105;3
647318;2823529;61
647318;5840290;1
647318;8055242;8
647318;8486975;1
647318;10418596;2
647318;18107181;2
647318;22786043;1
657779;408368;6
676637;849915;2
676637;1332699;2
676637;5821883;6
676637;10524058;2
676637;16747951;1
677994;1028226;1
677994;1093990;3
677994;6354455;1
677994;10393198;1
696611;54666;6
696611;101553;3
696611;142914;2
696611;238531;1
696611;439929;4
696611;567540;1
696611;635085;5
696611;718899;7
696611;899444;4
696611;924465;3
696611;1028226;5
696611;1538624;2
696611;2512748;1
696611;4299420;5
696611;4923335;1
696611;6447530;1
696611;6627780;1
696611;7684574;1
696611;11801881;1
696611;22550884;1
718899;156269;1
718899;379606;2
718899;439929;5
718899;569527;3
718899;588262;1
718899;899444;1
718899;910691;1
718899;924465;1
718899;988441;2
718899;1084409;3
718899;2512748;1
718899;4299420;19
718899;4421720;1
718899;4981813;1
718899;7693422;2
718899;9060496;1
718899;10393198;2
718899;22550884;11
722782;278;1
730123;33544;3
730123;37310;6
730123;1163175;8
730123;1237705;2
730123;1613024;1
730123;1964576;1
730123;2342749;15
730123;2823529;12
730123;3900799;4
730123;8225098;142
730123;10199099;2
730123;10743879;1
730123;11380896;4
730123;20646565;2
730123;22786043;1
749025;1577185;2
774455;287213;3
774455;1745006;2
774455;22899615;1
782880;17607;5
782880;439929;1
782880;11780786;5
849295;7502063;5
849915;98086;1
899444;101553;1
899444;275871;1
899444;287917;5
899444;327019;1
899444;432351;1
899444;439929;17
899444;635085;2
899444;677994;1
899444;718899;2
899444;830952;2
899444;988441;2
899444;1028226;2
899444;1093990;2
899444;1538624;8
899444;1610233;1
899444;2352663;7
899444;3802753;1
899444;4923335;1
899444;5234060;1
899444;5886475;2
899444;6354455;1
899444;12488060;1
899444;19511039;1
903617;3262098;6
903617;6104418;2
903617;22786043;1
904790;235550;2
906471;100893;1
906471;11380896;3
935710;495647;1
972456;2028198;3
979929;6216576;1
980082;354;1
980082;100893;1
980082;175841;4
980082;451477;3
980082;576341;6
980082;730123;6
980082;903617;7
980082;947971;16
980082;1163175;4
980082;1431969;8
980082;1605981;11
980082;1703842;1
980082;1787169;14
980082;2342749;12
980082;2589105;14
980082;3383143;3
980082;3596412;8
980082;3902875;2
980082;4876867;2
980082;5241206;2
980082;5442475;5
980082;5821883;1
980082;6051613;1
980082;6209214;25
980082;8225098;5
980082;10199099;1
980082;10743879;7
980082;13111288;4
980082;20646565;12
980082;22539261;2
980082;22786043;25
988441;54666;2
988441;718899;1
988441;910691;1
1084056;2512748;2
1093990;17607;15
1093990;79017;1
1093990;432351;1
1093990;910691;1
1093990;1028226;1
1093990;1824298;1
1093990;2512748;2
1093990;5886475;1
1093990;7693422;1
1093990;12443664;2
1093990;15161981;1
1116116;657779;1
1163175;278;5
1163175;354;14
1163175;37310;2
1163175;119737;6
1163175;576341;4
1163175;730123;3
1163175;929377;2
1163175;947971;1
1163175;980082;5
1163175;985861;2
1163175;1555564;1
1163175;1703842;1
1163175;2823529;3
1163175;3250776;1
1163175;4516999;1
1163175;4876867;2
1163175;5442475;1
1163175;5460957;1
1163175;6233452;5
1163175;6733629;4
1163175;7261177;5
1163175;7397746;2
1163175;8225098;1
1163175;9335600;4
1163175;10199099;3
1163175;10743879;37
1163175;11380896;10
1163175;13030040;4
1163175;18107181;3
1189785;4299420;1
