author_id,cluster_id
577277,3773
647318,3775
647318,3781
695290,3781
695290,3775
718899,3875
718899,3777
730123,3775
730123,3781
804625,3876
804625,3778
804625,3878
899444,3875
899444,3777
903617,3781
903617,3775
980082,3775
980082,3781
1047696,3876
1047696,3778
1047696,3878
1093990,3875
1093990,3777
1163175,3781
1163175,3775
1443911,3875
1443911,3777
1701782,3781
1701782,3775
1745006,3775
1745006,3781
1756505,3781
1787169,3781
1787169,3775
1867202,3775
1867202,3781
1929644,3775
1929644,3781
1957048,3778
1957048,3878
1957048,3876
2211145,3778
2211145,3878
2211145,3876
2342749,3775
2342749,3781
2352663,3777
2352663,3875
2512748,3777
2512748,3875
2519571,3781
2519571,3775
2589105,3775
2589105,3781
2823529,3781
2823529,3775
3020626,3777
3020626,3875
3109072,3777
3109072,3875
3262098,3781
3262098,3775
3876739,3781
3876739,3775
4299420,3777
4299420,3875
4333971,3781
4333971,3775
4876867,3781
4876867,3775
5094756,3781
5094756,3775
5319646,3775
5319646,3781
5442475,3781
5442475,3775
5449021,3781
5449021,3775
5595220,3781
5595220,3775
5751682,3781
5751682,3775
5821883,3775
5821883,3781
5952481,3777
5952481,3875
6284003,3781
6284003,3775
6733629,3775
6733629,3781
7062400,3781
7062400,3775
7502063,3878
7502063,3876
7502063,3778
7882754,3775
7882754,3781
7946809,3782
8061296,3775
8061296,3781
8225098,3775
8225098,3781
8681801,3781
8681801,3775
8822573,3875
8822573,3777
10052848,3781
10052848,3775
10393198,3875
10393198,3777
10524058,3775
10524058,3781
10743879,3775
10743879,3781
14308438,3781
14308438,3775
15881573,3775
15881573,3781
15943089,3875
15943089,3777
16105680,3775
16105680,3781
18045633,3775
18045633,3781
19172805,3781
19172805,3775
20855209,3775
20855209,3781
24448061,3775
24448061,3781
26879063,3781
26879063,3775
29497748,3775
29497748,3781
29742491,3781
29742491,3775
278,3775
278,3781
354,3781
354,3775
20809,3777
20809,3875
23304,3775
23304,3781
41858,3781
41858,3775
52195,3875
73419,3876
87088,3781
87088,3775
96947,3875
96947,3777
100893,3781
100893,3775
101553,3777
101553,3875
169553,3781
169553,3775
174200,3775
174200,3781
243674,3778
243674,3878
243674,3876
275871,3875
275871,3777
408368,3878
439929,3875
439929,3777
498775,3875
498775,3777
