author_id,cluster_id
278,3008
278,3056
278,3015
278,3013
278,3009
354,3015
354,3056
354,3013
354,3009
17607,3011
47313,3012
52195,3011
54666,3011
57224,3012
96947,3011
100893,3013
100893,3015
158611,3015
169553,3056
169553,3009
169553,3015
169553,3013
243674,3012
275871,3011
289174,3011
439929,3011
505333,3011
576341,3009
576341,3056
576341,3013
576341,3015
647318,3015
647318,3056
647318,3013
647318,3009
718899,3011
730123,3056
730123,3009
730123,3013
730123,3015
899444,3011
903617,3056
903617,3009
903617,3013
903617,3015
980082,3013
980082,3009
980082,3056
980082,3015
1047696,3012
1163175,3015
1163175,3013
1163175,3009
1163175,3056
1332699,3009
1332699,3013
1332699,3056
1332699,3015
1431969,3056
1538624,3011
1701782,3009
1701782,3015
1701782,3013
1701782,3056
1703842,3009
1703842,3013
1703842,3015
1703842,3056
1745006,3056
1745006,3013
1745006,3015
1745006,3008
1745006,3009
1787169,3056
1787169,3015
1787169,3013
1787169,3009
1957048,3012
2211145,3012
2342749,3009
2342749,3013
2342749,3015
2342749,3056
2512748,3011
2589105,3015
2589105,3056
2589105,3013
2589105,3009
2823529,3056
2823529,3009
2823529,3013
2823529,3015
3076896,3013
3076896,3056
3076896,3015
3076896,3009
3262098,3015
3262098,3009
3262098,3056
3262098,3013
3272040,3015
3272040,3013
3272040,3009
3272040,3056
3900799,3009
3900799,3056
3900799,3015
3900799,3013
4299420,3011
4461983,3015
4461983,3056
4461983,3013
4461983,3009
4790487,3015
4790487,3013
4790487,3009
4790487,3056
4876867,3015
4876867,3009
4876867,3013
4876867,3056
4923335,3011
5122391,3009
5122391,3015
5122391,3013
5122391,3056
5595220,3013
5595220,3056
5595220,3009
5595220,3015
5751682,3056
5751682,3009
5751682,3015
5751682,3013
5821883,3013
5821883,3056
5821883,3015
5821883,3009
6233452,3013
6233452,3009
6233452,3015
6233452,3056
6284003,3056
6284003,3015
6284003,3009
6284003,3013
7062400,3015
7062400,3056
7062400,3013
7062400,3009
7063592,3009
7063592,3015
7063592,3056
7063592,3013
7502063,3012
7882754,3015
7882754,3009
7882754,3013
7882754,3056
8061296,3009
8061296,3013
8061296,3015
8061296,3056
8225098,3056
8225098,3015
8225098,3009
8225098,3013
9295657,3056
9295657,3009
9295657,3015
9295657,3013
10199099,3056
10199099,3009
10199099,3015
10199099,3013
10393198,3011
10524058,3056
10524058,3009
10524058,3013
10524058,3015
10743879,3013
10743879,3015
10743879,3056
10743879,3009
15881573,3015
15881573,3009
15881573,3056
15881573,3013
15943089,3011
16662068,3056
16662068,3009
16662068,3013
16662068,3015
18107181,3013
18107181,3056
18107181,3015
18107181,3009
19172805,3013
19172805,3015
19172805,3009
19172805,3056
24448061,3008
24448061,3015
24448061,3009
24448061,3013
24448061,3056
